Agency Name,County,IncidentDate,LEOKA Assignment Type (NIBRS),LEOKA Circumstance,NIBRS Crime Description,NIBRS Report Title,Victim Age (group),Victim Gender,Victim Race,Distinct Offense Victims
Baker City PD,Baker,3/5/2022,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Male,White,1
Beaverton PD MIP,Washington,8/16/2021,Other - Assisted,Mentally Deranged,Simple Assault,Simple Assault,50-54,Male,White,1
Beaverton PD MIP,Washington,11/11/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,50-54,Male,White,1
Benton SO,BENTON,7/12/2020,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Boardman PD,Morrow,4/28/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Clackamas SO,Clackamas,8/29/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Clackamas SO,Clackamas,1/27/2022,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,50-54,Male,White,1
Clatsop SO,Clatsop,2/1/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Clatsop SO,Clatsop,11/12/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,50-54,Male,White,1
Coos Bay PD,Coos,2/13/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Coos SO,Coos,6/2/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,50-54,Female,Black or African American,1
Coquille PD,Coos,8/10/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Deschutes SO,Deschutes,9/13/2021,Other - Assisted,Mentally Deranged,Simple Assault,Simple Assault,50-54,Female,White,1
Eugene PD MIP,Lane,3/7/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Eugene PD MIP,Lane,3/5/2022,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Eugene PD MIP,Lane,7/1/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,50-54,Male,White,1
Eugene PD MIP,Lane,8/12/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Male,White,1
Eugene PD MIP,Lane,11/16/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Male,White,1
Gladstone PD,Clackamas,2/11/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Gladstone PD,Clackamas,2/9/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,50-54,Male,White,1
Grants Pass PD,Josephine,11/13/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,50-54,Male,White,1
Gresham PD MIP,Multnomah,6/9/2020,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Gresham PD MIP,Multnomah,3/18/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Hermiston PD,Umatilla,6/4/2020,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,50-54,Male,White,1
Hermiston PD,Umatilla,10/25/2020,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,50-54,Male,White,1
Hermiston PD,Umatilla,11/12/2020,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Hillsboro PD MIP,Washington,5/2/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Hillsboro PD MIP,Washington,8/30/2020,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,50-54,Male,Unknown,1
Hillsboro PD MIP,Washington,3/4/2021,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,50-54,Male,White,1
Hillsboro PD MIP,Washington,4/2/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Female,White,1
Hillsboro PD MIP,Washington,9/29/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,50-54,Male,White,1
Keizer PD,Marion,5/27/2020,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Keizer PD,Marion,9/8/2020,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Keizer PD,Marion,12/28/2021,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Keizer PD,Marion,3/8/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Unknown,Unknown,1
La Grande PD,Union,6/18/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Male,White,1
Lebanon PD,Linn,6/5/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Female,White,1
Linn SO,Linn,3/30/2022,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Male,White,1
Marion SO,Marion,3/31/2022,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Simple Assault,Simple Assault,50-54,Male,White,1
McMinnville PD,Yamhill,6/4/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,50-54,Male,White,1
McMinnville PD,Yamhill,11/3/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Male,White,1
Medford PD,Jackson,4/29/2020,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Medford PD,Jackson,1/25/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Medford PD,Jackson,2/11/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Multnomah SO,Multnomah,7/17/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,50-54,Male,Hispanic or Latino,1
Multnomah SO,Multnomah,1/10/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,50-54,Male,Unknown,1
Multnomah SO,Multnomah,2/14/2020,Other - Alone,Mentally Deranged,Aggravated Assault,Aggravated Assault,50-54,Male,White,1
Multnomah SO,Multnomah,12/1/2020,Other - Alone,All Other,Simple Assault,Simple Assault,50-54,Male,White,1
